Number,Location,Author(s),Title,Publisher,Year,ISBN,Notes,Language,Resources,Related Materials,Media
30,E1," Haldemann, Anita, ed.",Kara Walker: A Black Hole is Everything a Star Longs to Be: Drawings 1992-2020,Geneva: JRP Editions,2020,ISBN-13: 9783037645574 ISBN-10: 3037645571,Artist monograph Exhibition catalogue,,https://kunstmuseumbasel.ch/en/exhibitions/2021/kara-walker,,
31,E1," Martin, Lesley A., ed.",LaToya Ruby Frazier: The Notion of Family,New York: Aperture Foundation,2016,ISBN-13: 9781597113816 ISBN-10: 1597113816,Artist monograph Photography,,,,
32,E2," Willis, Deborah H.",Posing Beauty: African American Images from the 1890s to the Present,New York: W.W. Norton & Co.,2009,ISBN-13: 9780393066968 ISBN-10: 0393066967,Photography,,,,
33,," Bey, Dawoud",Dawoud Bey: Seeing Deeply,Austin: University of Texas Press,2018,ISBN-13: 9781477317198 ISBN-10: 1477317198,Artist monograph Photography,,,,
34,E2," Brookman, Philip, ed."," Gordon Parks: The New Tide, Early Work, 1940-1950"," Washington, DC: National Gallery of Art; Pleasantville: The Gordon Parks Foundation; Göttingen: Steidl",2018,ISBN-13: 9783958294943 ISBN-10: 3958294944,Artist monograph Exhibition catalogue Photography,,https://www.nga.gov/exhibitions/2018/gordon-parks-the-new-tide-1940-1950.html,,
35,E2," Kanjo, Kathryn",Jack Whitten: Five Decades of Painting,San Diego: Museum of Contemporary Art San Diego,2015,ISBN-13: 9780934418744 ISBN-10: 0934418748,Artist monograph Exhibition catalogue Painting,,https://mcasd.org/exhibitions/jack-whitten-five-decades-of-painting,,
36,E2," Jafa, Arthur",Arthur Jafa: Magnumb,Humlebæk: Louisiana Museum of,2021,ISBN-13: 9788793659353,Artist monograph,,,,
Duplicate Book,,,,Modern Art,,ISBN-10: 8793659350,Exhibition catalogue,,https://louisiana.dk/en/exhibition/arthur-jafa/,,
37,E2," Spriggs, Edward S., ed."," Deliverance: The Art of Ben Jones, 1970-2008",Jersey City: Jersey City Museum,2009,ISBN-13: 9780979113017 ISBN-10: 0979113016,Artist monograph Exhibition catalogue Signed by the artist,,,,
38,A1," Willis, W. Bruce",The Adinkra Dictionary: A Visual Primer on the Language of Adinkra," Washington, DC: The Pyramid Complex",1998,ISBN-13: 9780966153200 ISBN-10: 0966153200,Reference Dictionary Symbols African culture,,,Adinkra Symbols As Alphabets & Their Hidden Meanings,
39,A1," Trotter, Joe William, Jr."," Coal, Class, and Color: Blacks in Southern West Virginia, 1915-32",Urbana: University of Illinois Press,1990,ISBN-13: 9780252061196 ISBN-10: 0252061195,Labor History African American History,,,,
40,A1," Trotter, Joe William, Jr."," Black Milwaukee: The Making of an Industrial Proletariat, 1915-45",2nd ed. Urbana: University of Illinois Press,2007,ISBN-13: 9780252074103 ISBN-10: 0252074106," Labor History Urban Studies African American History Reissue of the revision of Trotter's doctoral dissertation, University of",,,,
41,A1," Plass, Margaret Weber",African Miniatures: The Goldweights of the Ashanti,London: Lund Humphries,1967,ISBN-13: 9780853310006 ISBN-10: 0853310009," Minnesota, 1985
African art",,,,
42,A1," Bank, Mirra",Anonymous Was a Woman: A Celebration in Words and Images of Traditional American Art and the Women Who Made It,New York: St. Martin's Press,1979,ISBN-13: 9780312041854 ISBN-10: 0312041853,Women artists American art Project began as a film and then became a book (see author's acknowledgments),,https://archive.org/details/anonymouswasawoman,,
43,A1," Walker, David F. and Marcus Kwame Anderson",The Black Panther Party: A Graphic Novel History,Emeryville: Ten Speed Press,2021,ISBN-13: 9781984857705 ISBN-10: 1984857703,Graphic novel,,,,
44,A1," Vergne, Philippe"," Heart of Darkness: Kai Althoff, Ellen Gallagher and Edgar Cleijne, Thomas Hirschhorn",Minneapolis: Walker Art Center,2006,ISBN-13: 9780935640854 ISBN-10: 0935640851,Exhibition catalogue,,https://walkerart.org/calendar/2006/heart-of-darkness-kai-althoff-ellen-gallagher,,
45,A1," Gibson, Ann Eden and Jorge Daniel Veneciano"," Norman Lewis: Black Paintings, 1946-1977",New York: Studio Museum in Harlem,1998,ISBN-13: 9780942949001 ISBN-10: 0942949005,Artist monograph Exhibition catalogue Painting,,,,
46,A1," Hodges, Bill"," Norman Lewis: A Painter's Odyssey, 1935- 1979",New York: Bill Hodges Gallery,2009,ISBN-13: 9781891978265 ISBN-10: 1891978268,Artist monograph Exhibition catalogue Painting,,,,
47,E2," Statler, Oliver",Modern Japanese Prints: An Art Reborn,Rutland; Toyko: Charles E. Tuttle Co.,1956,ISBN-13: 9780804804066 ISBN-10: 0804804060," Printmaking Woodcut print as frontispiece, Koshiro Onchi, Impression of a Violinist, p. iv",,,,
48,A1," Murase, Miyeko",Japanese Art: Selections from the Mary and Jackson Burke Collection,New York: The Metropolitan Museum of Art,1975,ISBN-13: 9780870991387 ISBN-10: 0870991388,Japanese art Asian art Exhibition catalogue,,https://www.metmuseum.org/art/metpublications/Japanese_Art_Selections_from_the_Mary_and_Jackson_Burke_Collection,,
49,A1," Quashie, Kevin Everod"," Black Women, Identity, and Cultural theory: (Un)Becoming the Subject",New Brunswick: Rutgers University Press,2004,ISBN-13: 9780813533674 ISBN-10: 0813533678,African American Studies,,,,
50,A1," Johnson, E. Patrick",Appropriating Blackness: Performance and the Politics of Authenticity,Durham: Duke University Press,2003,ISBN-13: 9780822331919 ISBN-10: 0822331918,African American Studies Performance,,,,
51,A1," Choi, Don Mee",DMZ Colony,Seattle: Wave Books,2020,ISBN-13: 9781940696959 ISBN-10: 194069695X,Poetry,,,,
52,A1," Jarrell, Wadsworth A.",AFRICOBRA: Experimental Art toward a School of Thought,Durham: Duke University Press,2020,ISBN-13: 9781478000563 ISBN-10: 1478000562,Black Arts Movement,,,,
53,A1," Shellman, Cecile"," Effective Diversity, Equity, Accessibility, Inclusion, and Anti-Racism Practices for Museums: From the Inside Out",Lanham: Rowman & Littlefield,2022,ISBN-13: 9781538155998 ISBN-10: 1538155990,Museum Practices,,,,
54,A1," Wilford, Adeze, ed.",Howardena Pindell: Rope/Fire/Water,Cologne: Verlag der Buchhandlung Walther und Franz König,2020,ISBN-13: 9783960988953 ISBN-10: 3960988958,Artist monograph Exhibition catalogue,,https://theshed.org/program/143-howardena-pindell-rope-fire-water,,
55,A1," Campt, Tina M.",A Black Gaze: Artists Changing How We See,Cambridge: MIT Press,2021,ISBN-13: 9780262045872 ISBN-10: 0262045877," Black Studies Visual Culture Contemporary art Included in Alma Lewis exhib. ""Abdul Aziz, Reclaiming Echoes""",English,https://www.youtube.com/watch?v=JUQUDevjg3o,Youtube video Alma Lewis website,
56,A1," Haynes, Lauren",Lynette Yiadom-Boakye: Any Number of Preoccupations,New York: Studio Museum in Harlem,2011,ISBN-13: 9780942949056 ISBN-10: 0942949056,Artist monograph Exhibition catalogue,,,,
57,A1," Choi, Don Mee",Hardly War,Seattle: Wave Books,2016,ISBN-13: 9781940696218 ISBN-10: 1940696216,Poetry,,,,
58,A1," Jackson, Zakiyyah Iman",Becoming Human: Matter and Meaning in an Antiblack World,New York: New York University Press,2020,ISBN-13: 9781479830374 ISBN-10: 1479830372,African American Studies,,,,
59,A1," Mohr, Richard D."," Pottery, Politics, Art: George Ohr and the Brothers Kirkpatrick",Urbana: University of Illinois Press,2003,ISBN-13: 9780252074653 ISBN-10: 0252074653,Ceramics,,,,
60,A1," Webster, Crystal Lynn",Beyond the Boundaries of Childhood: African American Children in the Antebellum North,Chapel Hill: University of North Carolina Press,2021,ISBN-13: 9781469663234 ISBN-10: 1469663236,African American History John Hope Franklin Series in African American History and Culture,,https://uncpress.org/series/john-hope-franklin-series-african-american-history-culture/,,
61,A1," Raboteau, Albert J."," Slave Religion: The ""Invisible Institution"" in the Antebellum South",Updated ed. Oxford; New York: Oxford University Press,2004,ISBN-13: 9780195174120 ISBN-10: 0195174127,African American History,,,,
62,A1," Patton, Sharon F.",African-American Art,Oxford; New York: Oxford University Press,1998,ISBN-13: 9780192842138 ISBN-10: 0192842137,Afican American Art History,,,,
63,A1," Powell, Richard J.",Black Art: A Cultural History,2nd ed. London: Thames & Hudson,2002,ISBN-13: 9780500203620 ISBN-10: 0500203628,African American Art Art History,,,,
64,A1," Cope, Suzanne",Power Hungry: Women of the Black Panther Party and Freedom Summer and Their Fight to Feed a Movement,Chicago: Lawrence Hill Books,2022,ISBN-13: 9781641604529 ISBN-10: 1641604522,African American History Civil Rights Movement,,https://www.youtube.com/watch?v=ADdWkPmSPCI,,
65,E2," Kamps, Toby and Steve Seid",Silence,Houston: The Menil Collection; Berkeley: UC Berkeley Art Museum and Pacific Film Archive; New Haven:  Yale University Press,2012,ISBN-13: 9780300179644 ISBN-10: 0300179642,Exhibition catalogue,,https://www.menil.org/exhibitions/24-silence,,
66,A1," Cook, Christopher",RubberMade: Sculpture by Chakia Booker,Kansas City: Kemper Museum of Contemporary Art,2008,ISBN-13: 9781891246166 ISBN-10: 189124616X,Artist monograph Exhibition catalogue Sculpture,,https://www.kemperart.org/exhibitions/rubbermade-sculpture-chakaia-booker,,
" 67
Duplicate Book",A1," Archable-Frederick Traci, Jess
Bither, Ben Bjork, Ricardo Castro, Melissa Clasing, Bret Click, Alex Dicken, Kellen Johnson, Michael Jones, eds.",Guarding the Art,Baltimore: Baltimore Museum of Art,2022," ISBN-13: 9780578371061
ISBN-10: 0578371065",Exhibition catalogue,,https://artbma.org/exhibition/bma-security-officers-take-center-stage-as-guest-curators-of-a-new-exhibition-opening-in-march-2022/,,
68,E2,Weight Watchers," Homecoming: African, Caribbean, Southern Recipes that Celebrate Food Traditions across the Diaspora",New York: W/W Twentyfirst Corp.,2020,,Cookbook Cooking,,,,
69,A1," Abani, Chris and Percival Everett",There Are No Names for Red: Poems,Los Angeles: Red Hen Press,2010,ISBN-13: 9781597094573 ISBN-10: 1597094579,Poetry Signed by the poet,,,,
70,A1," Allen, James, ed.",Without Sanctuary: Lynching Photography in America,Santa Fe: Twin Palms Publishers,2000,ISBN-13: 9780944092699 ISBN-10: 0944092691,African American History Photography,,https://withoutsanctuary.org/,,
71,E2," Jones, Kellie"," Dawoud Bey: Portraits, 1975-1995",Minneapolis: Walker Art Center,1995,ISBN-13: 9780935640465 ISBN-10: 0935640460,Artist monograph Exhibition catalogue Photography,,,,
72,A1," Rodeiro, Jose and Eddie Chambers",The Art of Ben Jones: Evolution-Revolution,London: Rich Mix Center For The Arts,2011,,Artist monograph Exhibition catalogue,,,,
73,E2,,Ben Jones: Resistance/Resistencia,Cuba: Museo Nacional de Bellas Artes,2017,,Artist monograph Exhibition catalogue Signed by the artist,,,,
74,E2," Danilowitz, Brenda",Anni Albers: Camino Real,New York: David Zwirner Books,2020,ISBN-13: 9781644230428 ISBN-10: 1644230429,Artist monograph Exhibition catalogue Textiles/Fiber,,https://www.davidzwirner.com/exhibitions/2019/anni-albers-2019,,
75,A1," Hodges, Bill",Norman Lewis 1909-1979: 25 Highly Important Paintings,New York: Bill Hodges Gallery,1998,,Artist monograph Exhibition catalogue Painting,,,,
76,A1," Perry, Regina",Free Within Ourselves:  African-American Artists in the Collection of the National Museum of American Art," Washington, DC: National Museum of American Art, Smithsonian Institution; San Francisco: Pomegranate",1992,ISBN-13: 9781566400725 ISBN-10: 1566400724,African American Art History,,,,
77,A1," D'Auria, Eleonora Causa and Linda Johnson Dougherty",Gentileschi/Wiley: Two Paintings of Judith 400 Years Apart,Naples: Museo e Real Bosco di Capodimonte; Raleigh: North Carolina Museum of Art; Pittsburgh: The Frick Pittsburgh,2022,ISBN-13: 9780578368344 ISBN-10: 057836834X,Exhibition catalogue,,https://www.thefrickpittsburgh.org/slay,,
78,A1," Lewis, Robin Coste",Voyage of the Sable Venus: And Other Poems,New York: Alfred A. Knopf,2015,ISBN-13: 9781101911204 ISBN-10: 1101911204,Poetry Signed by the poet,,,,
79,A1," Abani, Chris",Sanctificum,Port Townsend: Copper Canyon Press,2010,ISBN-13: 9781556593161 ISBN-10: 1556593163,Poetry Signed by the poet,,,,
80,A1," Ravenhill, Philip L."," Dreams and Reverie: Images of Otherworld Mates Among the Baule, West Africa"," Washington, DC: Smithsonian Institution Press",1996,ISBN-13: 9781560986508 ISBN-10: 1560986506,African art,,,,
81,A1," Wallace, Michele",Invisibility Blues: From Pop to Theory,London: Verso,1990,ISBN-13: 9780860915195 ISBN-10: 0860915190,Cultural Criticism,,,,
82,A1," English, Darby",1971: A Year in the Life of Color,Chicago; London: The University of Chicago Press,2016,ISBN-13: 9780226131054 ISBN-10: 022613105X,African American Art History,,,,
83,A1," Ater, Renée",Remaking Race and History: The Sculpture of Meta Warrick Fuller,Berkeley: University of California Press,2011,ISBN-13: 9780520385375 ISBN-10: 0520385373,Artist monograph African American Art History Sculpture,,,,
84,A1," Anderson, Melissa, Sonya Clark, Meg Roberts and Leigh Suggs, eds.",Sonya Clark: The Hair Craft Project,Richmond: Sonya Clark,2015,ISBN-13: 9780692474105 ISBN-10: 0692474102,Artist monograph Exhibition catalogue Signed by the artist,,,,
85,A1,Ngũgĩ wa Thiong'o,Decolonising the Mind: The Politics of Language in African Literature,London: J. Currey; Portsmouth: Heinemann,1986,ISBN-13: 9780852555019 ISBN-10: 0852555016,African literature Legally changed his name from James Ngugi to Ngugi wa Thiong’o in 1977,,,,
86,A1," Melandri, Lisa and Erin Cristovale",Amy Sherald,St. Louis: Contemporary Art Museum St. Louis,2018,ISBN-13: 9780988997097 ISBN-10: 0988997096,Artist monograph Exhibition catalogue Painting,,https://camstl.org/exhibitions/amy-sherald/,,
87,A1,Pittsburgh Center for the Arts,Exploration of Color: Jo-Anne L. Bates,Pittsburgh: Pittsburgh Center for the Arts,2017,,Exhibition catalogue,,,,
88,A2," Cochran, Sara and Roel Arkesteijn",Betye Saar: Still Tickin',Scottsdale: Scottsdale Museum of Contemporary Art,2017,ISBN-13: 9780979893667 ISBN-10: 0979893666,Artist monograph Exhibition catalogue,,https://smoca.org/exhibition/betye-saar-still-tickin/,,
89,A2," Keeling, Kara"," Queer Times, Black Futures",New York: New York University Press,2019,ISBN-13: 9780814748336,Scholarly monograph,,,,
Duplicate Book,,,,,,ISBN-10: 0814748333,Media Studies,,,,
90,A2," Hobbs, Robert and Stamatina Gregory",Tavares Strachan: I Belong Here,Nassau: Isolated Labes;Hong Kong: Conceptio Unlimited,2013,ISBN-13: 9780615769851 ISBN-10: 0615769853,Artist monograph Strachan was selected as the first representative of the Bahamas at the 2013 Venice Biennale,,,,
91,E2," Dziedzic, Erin and Melissa Messina"," Magnetic Fields: Expanding American Abstraction, 1960s to Today",Kansas City: Kemper Museum of Contemporary Art,2017,ISBN-13: 9780996272834 ISBN-10: 0996272836,Exhibition catalogue,,https://www.kemperart.org/exhibitions/magnetic-fields-expanding-american-abstraction-1960s-today,,
" 92
Duplicate Book",A2," Al-Khudhairi, Wassan, ed.",Third-Space: Shifting Conversations about Contemporary Art,Birmingham: Birmingham Museum of Art,2017," ISBN-13: 9781934774175
ISBN-10: 1934774170",Exhibition catalogue,," https://www.artsbma. org/exhibition/third-space-shifting-
conversations-about-contemporary-art/",,
" 93
Duplicate Book",A2," Touré, Marvin",À BIENTÔT: Meditations on Loss in Space,Coppell: Marvin Touré Studio LLC,2020,ISBN-13: 9798555987877," Artist book
Alma Lewis artist-in-residence",,,,
94,A2," Davis, Angela Y."," Blues Legacies and Black Feminism: Gertrude ""Ma"" Rainey, Bessie Smith and Billie Holiday",New York: Vintage Books,1999,ISBN-13: 9780679771265 ISBN-10: 0679771263,African American Studies,,,,
95,A2," Brathwaite, Kamau",Middle Passages,Newcastle upon Tyne: Bloodaxe Books,1992,ISBN-13: 9781852242244 ISBN-10: 1852242248,Poetry,,,,
96,A2," Garlake, Peter",Early Art and Architecture of Africa,Oxford; New York: Oxford University Press,2002,ISBN-13: 9780192842619 ISBN-10: 0192842617,African art and architecture,,,,
97,A2," Reynolds, Jock",House and Home: Spirits of the South,Seattle: University of Washington Press,1994,ISBN-13: 9781879886353 ISBN-10: 1879886359,Exhibition catalogue,,,,
98,A2," Adler, Esther and Christophe Cherix",Betye Saar: Black Girl's Window,New York: Museum of Modern Art,2019,ISBN-13: 9781633450769 ISBN-10: 1633450767,Artist monograph MoMA one on one series,,https://www.moma.org/calendar/exhibitions/5060,,
99,A2," Myers, Walter Dean",Brown Angels: An Album of Pictures and Verse,New York: HarperCollins Publishers,1993,ISBN-13: 9780064434553 ISBN-10: 0064434559,Children's poetry,,,,
100,A2," Curry-Evans, Kim, Susan Krane, Neal A. Lester, Charles H. Nelson, Jr., Kevin Powell, and Pamela Sneed",HairStories,Scottsdale: Scottsdale Museum of Contemporary Art,2004,ISBN-13: 9780967026541 ISBN-10: 0967026547,Exhibition catalogue African American History Fashion and Style,,,,
101,A2," Kim, Christine Y. and Franklin Sirmans, eds.",Black Belt,New York: Studio Museum in Harlem,2003,ISBN-13: 9780942949261 ISBN-10: 0942949269,Exhibition catalogue,,,,
102,A2," Irele, F. Abiola",The African Imagination: Literature in Africa and the Black Diaspora,New York; Oxford: Oxford University Press,2001,ISBN-13: 9780195086195 ISBN-10: 0195086198,Scholarly monograph Literary studies,,,,
103,A2," Warren, Calvin L."," Ontological Terror: Blackness, Nihilism, and",Durham: Duke University Press,2018,ISBN-13: 9780822370871,African American Studies,,,,
Duplicate,,,Emancipation,,,ISBN-10: 0822370875,Philosophy,,,,
Book,,,,,,,,,,,
104,A2," Andersson, Andrea and Antonio Sergio Bessa",Sanford Biggers: Codeswitch,Bronx: Bronx Museum of the Arts; New Haven: Yale University Press,2020," ISBN-13: 9780300248647
ISBN-10: 0300248644"," Artist monograph Exhibition catalogue
Signed by the artist",,https://bronxmuseum.org/exhibition/sanford-biggers-codeswitch/,,
105,A2," Frank, Robert",The Americans,Göttingen: Steidl,2008," ISBN-13: 9783865215840
ISBN-10: 386521584X"," Artist book
Photography",,,,
106,A2," Sealy, Mark, ed."," African Cosmologies: Photography, Time, and
the Other"," Amsterdam: Schilt Publishing; Houston:
FotoFest",2020," ISBN-13: 9789053309322
ISBN-10: 9053309322",Exhibition catalogue,,https://fotofest.org/biennial2020,,
107,A2," Ramón, Juan López, ed.",Ben Jones/William Rhodes,Greenvale: López Publishing,2021," ISBN-13: 9780578749730
ISBN-10: 0578749734"," Artist monograph Exhibition catalogue
Signed by the artist (Jones) and
includes handwritten note on Post-It",,,,
108,A2," Campbell, Mary Schmidt"," Tradition and Conflict: Images of a Turbulent
Decade, 1963-1973",New York: Studio Museum in Harlem,1985,,Exhibition catalogue,,,,
109,A2," Balderama, Maria R., ed."," Wifredo Lam and His Contemporaries, 1938-
1952",New York: Studio Museum in Harlem,1992," ISBN-13: 9780810925489
ISBN-10: 0810925486"," Artist monograph
Exhibition catalogue",,,,
110,A2," Clare, Claudia",Subversive Ceramics,London: Bloomsbury Academic,2016," ISBN-13: 9781472528544
ISBN-10: 1472528549"," Scholarly monograph
Ceramics",,,,
111,A2," Powell, Richard J., ed.",Archibald Motley: Jazz Age Modernist,Durham: Nasher Museum of Art,2016," ISBN-13: 9780938989370
ISBN-10: 0938989375",Artist monograph Exhibition catalogue Painting,," https://nasher.duke. edu/exhibitions/archibald-motley-jazz- age-modernist/
https://whitney.
org/exhibitions/archibald-motley",,
112,A2," McKittrick, Katherine, ed.",Sylvia Wynter: On Being Human as Praxis,Durham: Duke University Press,2015," ISBN-13: 9780822358343
ISBN-10: 0822358344",Black Studies/Black Diaspora Caribbean Studies,,,,
113,A2," Jordan, June"," Some of Us Did Not Die: New and Selected
Essays of June Jordan",New York: Basic/Civitas Books,2002," ISBN-13: 9780465036929
ISBN-10: 0465036929"," African American Studies
Essays",,,,
114,A2," Said, Edward",Orientalism,25th anniversary ed. New York: Vintage Books,2003,ISBN-13: 9780394740676 ISBN-10: 039474067X,Cultural History Postcolonial Theory,,,,
115,A2," Smith, Zadie",Intimations,New York: Penguin Books,2020," ISBN-13: 9780593297612
ISBN-10: 059329761X",Essays,,,,
