,Number,Location,Editor/Author(s),Title,Publisher,Volume/Issue/Number,Year,Notes,Language,Resources,Related Materials,Media
19, 20.0, E1," Sussler, Betsy, ed.", BOMB Magazine," New Art Publications, Inc.", Issue 158, Winter 2022, Magazine, English, https://bombmagazine.org/ https://bombmagazine. org/issues/158/,, Magazine website
20, 21.0, E1," Leider, Philip, ed.", Artforum, Charles Cowles," Vol. 7, No. 6", Feb. 1969, Magazine, English, https://www.artforum.com/,, Magazine website
21, 22.0, E1," Silverstein, Jake, ed.", The New York Times Magazine,,," Aug. 18, 2019", Magazine The 1619 Project, English, https://www.nytimes. com/interactive/2019/08/14/magazi ne/1619-america-slavery.html https://1619education.org/,, Interactive website Digital education resources
22, 23.0, E1," Silverstein, Jake, ed.", The New York Times Magazine,,," Oct. 17, 2021", Magazine The Culture Issue, English, https://www.nytimes. com/issue/magazine/2021/10/15/th e-101721-issue-culture,, Magazine website
23, 24.0, E1,, T: The New York Times Style Magazine,,," Sept. 26, 2021"," Magazine
Design & Luxury Issue", English,,, Magazine website
24, 25.0, E1,, T: The New York Times Style Magazine,,," Oct. 17, 2021"," Magazine
Greats Issue", English,,, Magazine website
25, 26.0, E1,, Studio: The Studio Museum in Harlem Magazine, Studio Museum in Harlem,, Spring 2008, Magazine, English,,, Magazine website
26, 27.0, E1,, Studio: The Studio Museum in Harlem Magazine, Studio Museum in Harlem,, Winter/Spring 2017, Magazine, English,,, Magazine website
27, 28.0, E1,, Studio: The Studio Museum in Harlem Magazine, Studio Museum in Harlem,," Fall/Winter 2017-
2018", Magazine, English,,, Magazine website
28, 29.0, E1,, Studio: The Studio Museum in Harlem Magazine, Studio Museum in Harlem,, Spring/Summer 2018, Magazine, English,,, Magazine website
29, 30.0, E1,, Studio: The Studio Museum in Harlem Magazine, Studio Museum in Harlem,, Fall 2018/Winter 2019, Magazine, English,,, Magazine website
30, 31.0, E1,, Studio: The Studio Museum in Harlem Magazine, Studio Museum in Harlem,, Spring/Summer 2019, Magazine, English,,, Magazine website
31, 32.0, E1,," Sotheby's Contemporary Art, Part II", Sotheby's New York, Sale 6844, 5/9/1996, Auction catalogue, English,,, Auction house website
32, 33.0, E1,," Sotheby's Modern and Contemporary African
Art", Sotheby's London, Sale L18801, 3/28/2018, Auction catalogue, English,,, Auction house website
33, 34.0, E1,, Elle Decor, Hearst Magazines,, Winter 2022," Magazine
The Escapes Issue
Article on Afrofuturist Period Room at the Metropolitan Museum of Art", English,,," Magazine website
Museum website"
34, 35.0, E1,, Vogue, Condé Nast," Vol. 208, No. 9", Sept. 2018," Magazine Fashion
Beyonce cover; photo by Tyler Mitchell", English,,, Magazine website Photographer website
35, 36.0, E1,, Art + Practice, Art + Practice, Year Three, 2016, Catalogue Non-profit, English,,, Organization website
36, 37.0, E1,, Art + Practice, Art + Practice, Year Four, 2017, Catalogue Non-profit, English,,, Organization website
37, 38.0, E1,, Firelei Báez, Kavi Gupta,, 2018, Gallery publication, English,,, Gallery website Artist website
38, 39.0, E1,, Devan Shimoyama, Kavi Gupta,, 2019, Gallery publication, English,," See Book # 232 Devan Shimoyama: Cry, Baby", Gallery website Artist website
39, 40.0, E1,, Jeffrey Gibson, Kavi Gupta,, 2019, Gallery publication, English,,," Gallery website
Artist website"
40, 41.0, Kilolo's office,, Whetstone,, Vol. 10, Summer 2022," Magazine
Food", English,, See #42, Magazine website
41, 42.0, Kilolo's office,, Whetstone,, Vol. 11, Winter 2023, Magazine Food, English,, See #41, Magazine website
42, 43.0, E1,, Afterall," Central Saint Martins, University of the Arts London; University of Chicago", Issue 6, 2002, Journal Contemporary art, English,, See #44, Journal website Publisher website
43, 44.0, E1,, Afterall," Central Saint Martins, University of the Arts London; University of Chicago", Issue 5, 2002, Journal Contemporary art, English,, See #43, Journal website Publisher website
44, 45.0, E1,, The Brooklyn Rail," Phong H. Bui; The Brooklyn Rail, Inc.",, Jun-23, Journal Contemporary art, English,,, Journal website
45, 46.0, Kilolo's office,, Hambone,, Issue 15, 2000," African American art
Sculpture
Literary magazine Thaddeus Mosley Pittsburgh", English,," See Book #527 Thaddeus
Mosley", Magazine website
